"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"608","Alex Friesen","VAN","C","30","1991-01-30","St. Catharines","ON","CAN","CAN","69","186","2010","VAN","6","22","172"
"772","Alex Galchenyuk","MTL","C, L","27","1994-02-12","Milwaukee","WI","USA","USA","73","207","2012","MTL","1","3","3"
"186","Alex Goligoski","ARI, DAL","D","35","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"321","Alex Grant","ARI","D","32","1989-01-20","Antigonish","NS","CAN","CAN","75","210","2007","PIT","4","27","118"
"1183","Alex Iafallo","L.A","C","27","1993-12-21","Eden","NY","USA","USA","72","188","-","-","-","-","-"
"704","Alex Khokhlachev","BOS","C","27","1993-09-09","Moscow","","RUS","RUS","70","181","2011","BOS","2","10","40"
"315","Alex Killorn","T.B","C, L","31","1989-09-14","Halifax","NS","CAN","CAN","73","199","2007","T.B","3","16","77"
"167","Alex Ovechkin","WSH","L","35","1985-09-17","Moscow","","RUS","RUS","75","238","2004","WSH","1","1","1"
"565","Alex Petrovic","FLA","D","29","1992-03-03","Edmonton","AB","CAN","CAN","76","216","2010","FLA","2","6","36"
"381","Alex Pietrangelo","STL","D","31","1990-01-18","King City","ON","CAN","CAN","75","210","2008","STL","1","4","4"
"23","Alex Tanguay","ARI, COL","L","41","1979-11-21","Ste-Justine","QC","CAN","CAN","73","194","1998","COL","1","12","12"
"999","Alex Tuch","MIN, VGK","R","24","1996-05-10","Syracuse","NY","USA","USA","76","220","2014","MIN","1","18","18"
"587","Alexander Burmistrov","ARI, VAN, WPG","C","29","1991-10-21","Kazan","","RUS","RUS","73","180","2010","ATL","1","8","8"
"191","Alexander Edler","VAN","D","34","1986-04-21","Ostersund","","SWE","SWE","75","212","2004","VAN","3","26","91"
"848","Alexander Kerfoot","COL","C","26","1994-08-11","Vancouver","BC","CAN","CAN","70","185","2012","N.J","5","29","150"
"1152","Alexander Nylander","BUF","R","23","1998-03-02","Calgary","AB","CAN","CAN","73","192","2016","BUF","1","8","8"
"173","Alexander Radulov","DAL, MTL","R","34","1986-07-05","Nizhny Tagil","","RUS","RUS","73","205","2004","NSH","1","15","15"
"96","Alexander Semin","MTL","R","37","1984-03-03","Krasnojarsk","","RUS","RUS","74","211","2002","WSH","1","13","13"
"110","Alexander Steen","STL","L","37","1984-03-01","Winnipeg","MB","CAN","SWE","72","211","2002","TOR","1","24","24"
"943","Alexander Wennberg","CBJ","C","26","1994-09-22","Stockholm","","SWE","SWE","74","197","2013","CBJ","1","14","14"
"116","Alexandre Burrows","OTT, VAN","L, R","39","1981-04-11","Pincourt","QC","CAN","CAN","73","197","-","-","-","-","-"
"1115","Alexandre Carrier","NSH","D","24","1996-10-08","Quebec City","QC","CAN","CAN","71","174","2015","NSH","4","24","115"
"690","Alexandre Grenier","VAN","R","29","1991-09-05","Laval","QC","CAN","CAN","77","200","2011","VAN","3","29","90"
"190","Alexei Emelin","MTL, NSH","D","34","1986-04-25","Togliatti","","RUS","RUS","74","218","2004","MTL","3","19","84"
"646","Alexey Marchenko","DET, TOR","D","29","1992-01-02","Moscow","","RUS","RUS","75","210","2011","DET","7","24","205"
"1036","Anders Bjork","BOS","L","24","1996-08-05","Mequon","WI","USA","USA","72","197","2014","BOS","5","26","146"
"520","Anders Lee","NYI","C, L","30","1990-07-03","Edina","MN","USA","USA","75","235","2009","NYI","6","1","152"
"117","Andre Benoit","STL","D","37","1984-01-06","St. Albert","ON","CAN","CAN","71","190","-","-","-","-","-"
"898","Andre Burakovsky","WSH","L","26","1995-02-09","Klagenfurt","","AUT","SWE","75","201","2013","WSH","1","23","23"
"830","Andreas Athanasiou","DET","C, L","26","1994-08-06","London","ON","CAN","CAN","74","188","2012","DET","4","19","110"
"1190","Andreas Borgman","TOR","D","25","1995-06-18","Stockholm","","SWE","SWE","72","205","-","-","-","-","-"
"1014","Andreas Englund","OTT","D","25","1996-01-21","Stockholm","","SWE","SWE","75","189","2014","OTT","2","10","40"
"873","Andreas Johnsson","TOR","L","26","1994-11-21","Gävle","","SWE","SWE","70","194","2013","TOR","7","21","202"
"1103","Andreas Martinsen","CHI, COL, MTL","L","30","1990-06-13","Bærum","","NOR","NOR","75","225","-","-","-","-","-"
"33","Andrei Markov","MTL","D","42","1978-12-20","Voskresensk","","RUS","RUS","72","200","1998","MTL","6","17","162"
"1112","Andrei Mironov","COL","D","26","1994-07-29","Moscow","","RUS","RUS","75","194","2015","COL","4","10","101"
"506","Andrej Nestrasil","CAR","C","30","1991-02-22","Prague","","CZE","CZE","75","200","2009","DET","3","14","75"
"189","Andrej Sekera","EDM","D","34","1986-06-08","Bojnice","","SVK","SVK","72","195","2004","BUF","3","6","71"
"860","Andrej Sustr","T.B","D","30","1990-11-29","Plzen","","CZE","CZE","79","217","-","-","-","-","-"
"533","Andrew Agozzino","COL","L","30","1991-01-03","Kleinburg","ON","CAN","CAN","70","187","-","-","-","-","-"
"291","Andrew Bodnarchuk","CBJ, COL","D","32","1988-07-11","Drumheller","AB","CAN","CAN","71","195","2006","BOS","5","5","128"
"412","Andrew Campbell","TOR","D","33","1988-02-04","Caledonia","ON","CAN","CAN","76","205","2008","L.A","3","13","74"
"225","Andrew Cogliano","ANA","C, L","33","1987-06-14","Toronto","ON","CAN","CAN","70","175","2005","EDM","1","25","25"
"896","Andrew Copp","WPG","C","26","1994-07-08","Ann Arbor","MI","USA","USA","73","206","2013","WPG","4","13","104"
"626","Andrew Crescenzi","L.A","C","28","1992-07-29","Thornhill","ON","CAN","CAN","77","207","-","-","-","-","-"
"256","Andrew Desjardins","CHI","C, L","34","1986-07-27","Lively","ON","CAN","CAN","73","195","-","-","-","-","-"
"17","Andrew Ference","EDM","D","42","1979-03-17","Edmonton","AB","CAN","CAN","71","182","1997","PIT","8","18","208"
"169","Andrew Ladd","CHI, NYI, WPG","L","35","1985-12-12","Maple Ridge","BC","CAN","CAN","75","192","2004","CAR","1","4","4"
"301","Andrew MacDonald","PHI","D","34","1986-09-07","Judique","NS","CAN","CAN","73","204","2006","NYI","6","7","160"
"1045","Andrew Mangiapane","CGY","L","24","1996-04-04","Toronto","ON","CAN","CAN","70","184","2015","CGY","6","15","166"
"867","Andrew Miller","EDM","C","32","1988-09-18","Bloomfield Hills","MI","USA","USA","70","181","-","-","-","-","-"
"1126","Andrew Poturalski","CAR","C","27","1994-01-14","Williamsville","NY","USA","USA","70","183","-","-","-","-","-"
"669","Andrew Shaw","CHI, MTL","C, R","29","1991-07-20","Belleville","ON","CAN","CAN","71","182","2011","CHI","5","18","139"
"672","Andrey Pedan","VAN","D","27","1993-07-03","Kaunas","","LTU","LTU","77","213","2011","NYI","3","2","63"
"685","Andy Andreoff","L.A","C, L","29","1991-05-17","Pickering","ON","CAN","CAN","73","203","2011","L.A","3","19","80"
"260","Andy Greene","N.J","D","38","1982-10-30","Trenton","MI","USA","USA","71","190","-","-","-","-","-"
"687","Andy Welinski","ANA","D","27","1993-04-27","Duluth","MN","USA","USA","73","201","2011","ANA","3","22","83"
"1083","Anthony Beauvillier","NYI","C, L","23","1997-06-08","Sorel-Tracy","QC","CAN","CAN","71","182","2015","NYI","1","28","28"
"615","Anthony Bitetto","NSH","D","30","1990-07-15","Island Park","NY","USA","USA","73","210","2010","NSH","6","18","168"
"1098","Anthony Cirelli","T.B","C","23","1997-07-15","Etobicoke","ON","CAN","CAN","72","191","2015","T.B","3","11","72"
"887","Anthony Duclair","ARI, CHI","L","25","1995-08-26","Pointe-Claire","QC","CAN","CAN","71","197","2013","NYR","3","19","80"
"949","Anthony Mantha","DET","R","26","1994-09-16","Longueuil","QC","CAN","CAN","77","234","2013","DET","1","20","20"
"338","Anthony Peluso","WPG, WSH","R","31","1989-04-18","North York","ON","CAN","CAN","75","225","2007","STL","6","9","160"
"439","Antoine Roussel","DAL","L","31","1989-11-21","Roubaix","","FRA","FRA","71","199","-","-","-","-","-"
"55","Antoine Vermette","ANA, ARI","C","38","1982-07-20","St. Agapit","QC","CAN","CAN","73","197","2000","OTT","2","25","55"
"870","Anton Blidh","BOS","L","26","1995-03-14","Molnlycke","","SWE","SWE","72","201","2013","BOS","6","29","180"
"459","Anton Lander","EDM","C","29","1991-04-24","Sundsvall","","SWE","SWE","72","184","2009","EDM","2","10","40"
"1035","Anton Lindholm","COL","D","26","1994-11-29","Skellefteå","","SWE","SWE","71","191","2014","COL","5","24","144"
"491","Anton Rodin","VAN","R","30","1990-11-21","Stockholm","","SWE","SWE","71","186","2009","VAN","2","23","53"
"889","Anton Slepyshev","EDM","L","26","1994-05-13","Penza","","RUS","RUS","74","221","2013","EDM","3","27","88"
"253","Anton Stralman","T.B","D","34","1986-08-01","Tibro","","SWE","SWE","71","186","2005","TOR","7","22","216"
"220","Anze Kopitar","L.A","C","33","1987-08-24","Jesenice","","SVN","SVN","75","225","2005","L.A","1","11","11"
"298","Artem Anisimov","CHI","C","32","1988-05-24","Yaroslavl","","RUS","RUS","76","199","2006","NYR","2","24","54"
"1102","Artemi Panarin","CBJ, CHI","C, L","29","1991-10-30","Korkino","","RUS","RUS","71","170","-","-","-","-","-"
"923","Artturi Lehkonen","MTL","L","25","1995-07-04","Piikkio","","FIN","FIN","72","178","2013","MTL","2","25","55"
"857","Ashton Sautner","VAN","D","26","1994-05-27","Flin Flon","MB","CAN","CAN","73","195","-","-","-","-","-"
"1097","Austin Czarnik","BOS","C","28","1992-12-12","Detroit","MI","USA","USA","69","175","-","-","-","-","-"
"576","Austin Watson","NSH","L","29","1992-01-13","Ann Arbor","MI","USA","USA","76","198","2010","NSH","1","18","18"
"1136","Auston Matthews","TOR","C","23","1997-09-17","San Ramon","CA","USA","USA","75","220","2016","TOR","1","1","1"
"757","Barclay Goodrow","S.J","R","28","1993-02-26","Toronto","ON","CAN","CAN","74","203","-","-","-","-","-"
"37","Barret Jackman","NSH","D","40","1981-03-05","Trail","BC","CAN","CAN","72","203","1999","STL","1","17","17"
"571","Beau Bennett","N.J, PIT, STL","R","29","1991-11-27","Gardena","CA","USA","USA","74","195","2010","PIT","1","20","20"
"514","Ben Chiarot","WPG","D","29","1991-05-09","Hamilton","ON","CAN","CAN","75","234","2009","ATL","4","29","120"
"897","Ben Harpur","OTT","D","26","1995-01-12","Hamilton","ON","CAN","CAN","78","231","2013","OTT","4","17","108"
"847","Ben Hutton","VAN","D","27","1993-04-20","Brockville","ON","CAN","CAN","74","206","2012","VAN","5","26","147"
"311","Ben Lovejoy","N.J, PIT","D","37","1984-02-20","Concord","NH","USA","USA","73","205","-","-","-","-","-"
"525","Ben Sexton","OTT","C","29","1991-06-06","Ottawa","ON","CAN","CAN","71","196","2009","BOS","7","25","206"
"431","Ben Smith","COL, S.J, TOR","R","32","1988-07-11","Winston-Salem","NC","USA","USA","71","203","2008","CHI","6","18","169"
"627","Ben Street","COL, DET","C","34","1987-02-13","Coquitlam","BC","CAN","CAN","71","190","-","-","-","-","-"
"752","Ben Thomson","N.J","L","28","1993-01-16","Brampton","ON","CAN","CAN","75","205","2012","N.J","4","5","96"
"217","Benoit Pouliot","BUF, EDM","L","34","1986-09-29","Alfred","ON","CAN","CAN","75","200","2005","MIN","1","4","4"
"681","Blake Coleman","N.J","C","29","1991-11-28","Plano","TX","USA","USA","71","207","2011","N.J","3","14","75"
"181","Blake Comeau","COL","L","35","1986-02-18","Meadow Lake","SK","CAN","CAN","73","200","2004","NYI","2","17","47"
"1161","Blake Hillman","CHI","D","25","1996-01-26","Elk River","MN","USA","USA","73","193","2016","CHI","6","22","173"
"665","Blake Pietila","N.J","L","28","1993-02-20","Milford","MI","USA","USA","71","200","2011","N.J","5","8","129"
"1088","Blake Speers","N.J","C","24","1997-01-02","Sault Ste. Marie","ON","CAN","CAN","71","185","2015","N.J","3","6","67"
"170","Blake Wheeler","WPG","R","34","1986-08-31","Plymouth","MN","USA","USA","77","225","2004","PHX","1","5","5"
"938","Bo Horvat","VAN","C","25","1995-04-05","London","ON","CAN","CAN","72","215","2013","VAN","1","9","9"
"759","Bobby Farnham","MTL, N.J, PIT","R","32","1989-01-21","North Andover","MA","USA","USA","70","190","-","-","-","-","-"
"215","Bobby Ryan","OTT","R","34","1987-03-17","Cherry Hill","NJ","USA","USA","74","208","2005","ANA","1","2","2"
"817","Boo Nieves","NYR","C","27","1994-01-23","Syracuse","NY","USA","USA","75","214","2012","NYR","2","29","59"
"703","Boone Jenner","CBJ","C","27","1993-06-15","Dorchester","ON","CAN","CAN","74","207","2011","CBJ","2","7","37"
"975","Borna Rendulic","COL, VAN","R","29","1992-03-25","Zagreb","","HRV","HRV","74","200","-","-","-","-","-"
"100","Boyd Gordon","ARI, PHI","C","37","1983-10-19","Unity","SK","CAN","CAN","72","200","2002","WSH","1","17","17"
"259","Bracken Kearns","NYI","C","39","1981-05-12","North Vancouver","BC","CAN","CAN","72","188","-","-","-","-","-"
"49","Brad Boyes","TOR","R","38","1982-04-17","Mississauga","ON","CAN","CAN","72","199","2000","TOR","1","24","24"
"761","Brad Hunt","EDM, NSH, STL, VGK","D","32","1988-08-24","Maple Ridge","BC","CAN","CAN","69","177","-","-","-","-","-"
"343","Brad Malone","CAR, EDM","C","31","1989-05-20","Miramichi","NB","CAN","CAN","73","217","2007","COL","4","14","105"
"264","Brad Marchand","BOS","C, L","32","1988-05-11","Halifax","NS","CAN","CAN","69","181","2006","BOS","3","8","71"
"27","Brad Richards","DET","C","40","1980-05-02","Murray Hbr.","PE","CAN","CAN","72","199","1998","T.B","3","6","64"
"152","Brad Richardson","ARI","C, R","36","1985-02-04","Belleville","ON","CAN","CAN","72","190","2003","COL","5","27","163"
"22","Brad Stuart","COL","D","41","1979-11-06","Rocky Mountain House","AB","CAN","CAN","74","215","1998","S.J","1","3","3"
"851","Brady Austin","BUF","D","27","1993-06-16","Bobcaygeon","ON","CAN","CAN","76","230","2012","BUF","7","12","193"
"782","Brady Skjei","NYR","D","26","1994-03-26","Lakeville","MN","USA","USA","75","210","2012","NYR","1","28","28"
"539","Brandon Bollig","CGY","L","34","1987-01-31","St. Charles","MO","USA","USA","74","220","-","-","-","-","-"
"1074","Brandon Carlo","BOS","D","24","1996-11-26","Colorado Springs","CO","USA","USA","77","227","2015","BOS","2","7","37"
"616","Brandon Davidson","EDM, MTL, NYI","D","29","1991-08-21","Taber","AB","CAN","CAN","74","209","2010","EDM","6","12","162"
"185","Brandon Dubinsky","CBJ","C","34","1986-04-29","Anchorage","AK","USA","USA","74","208","2004","NYR","2","30","60"
"569","Brandon Gormley","COL","D","29","1992-02-18","Murray River","PE","CAN","CAN","74","188","2010","PHX","1","13","13"
"530","Brandon Manning","PHI","D","30","1990-06-04","Prince George","BC","CAN","CAN","73","205","-","-","-","-","-"
"440","Brandon Mashinter","CHI","L","32","1988-09-20","Bradford","ON","CAN","CAN","76","212","-","-","-","-","-"
"1017","Brandon Montour","ANA","D","26","1994-04-11","Brantford","ON","CAN","CAN","72","194","2014","ANA","2","25","55"
"487","Brandon Pirri","ANA, FLA, NYR, VGK","C, R","29","1991-04-10","Toronto","ON","CAN","CAN","72","180","2009","CHI","2","29","59"
"188","Brandon Prust","VAN","L","37","1984-03-16","London","ON","CAN","CAN","72","195","2004","CGY","3","5","70"
"707","Brandon Saad","CBJ, CHI","L","28","1992-10-27","Pittsburgh","PA","USA","USA","73","206","2011","CHI","2","13","43"
"345","Brandon Sutter","VAN","C","32","1989-02-14","Huntington","NY","USA","CAN","75","190","2007","CAR","1","11","11"
"1132","Brandon Tanev","WPG","L","29","1991-12-31","Toronto","ON","CAN","CAN","72","180","-","-","-","-","-"
"479","Brayden McNabb","L.A, VGK","D","30","1991-01-21","Davidson","SK","CAN","CAN","76","216","2009","BUF","3","5","66"
"1024","Brayden Point","T.B","C","25","1996-03-13","Calgary","AB","CAN","CAN","70","183","2014","T.B","3","19","79"
"464","Brayden Schenn","PHI, STL","C","29","1991-08-22","Saskatoon","SK","CAN","CAN","73","200","2009","L.A","1","5","5"
"123","Braydon Coburn","T.B","D","36","1985-02-27","Shaunavon","SK","CAN","CAN","77","224","2003","ATL","1","8","8"
"612","Brendan Gallagher","MTL","R","28","1992-05-06","Edmonton","AB","CAN","CAN","69","183","2010","MTL","5","27","147"
"781","Brendan Gaunce","VAN","C","27","1994-03-25","Sudbury","ON","CAN","CAN","74","217","2012","VAN","1","26","26"
"1067","Brendan Guhle","BUF","D","23","1997-07-29","Edmonton","AB","CAN","CAN","74","197","2015","BUF","2","21","51"
"804","Brendan Leipsic","TOR, VAN, VGK","L","26","1994-05-19","Winnipeg","MB","CAN","CAN","70","180","2012","NSH","3","28","89"
"1011","Brendan Lemieux","WPG","L","25","1996-03-15","Denver","CO","USA","USA","73","213","2014","BUF","2","1","31"
"993","Brendan Perlini","ARI","L","24","1996-04-27","Guildford","","GBR","GBR","75","211","2014","ARI","1","12","12"
"344","Brendan Smith","DET, NYR","D","32","1989-02-08","Mimico","ON","CAN","CAN","74","200","2007","DET","1","27","27"
"824","Brendan Woods","CAR","L","28","1992-06-11","Humboldt","SK","CAN","CAN","76","210","2012","CAR","5","8","129"
"532","Brenden Dillon","S.J","D","30","1990-11-13","New Westminster","BC","CAN","CAN","76","220","-","-","-","-","-"
"132","Brent Burns","S.J","D","36","1985-03-09","Barrie","ON","CAN","CAN","77","230","2003","MIN","1","20","20"
"424","Brent Regner","FLA","D","31","1989-05-17","Westlock","AB","CAN","CAN","71","189","2008","CBJ","5","16","137"
"127","Brent Seabrook","CHI","D","35","1985-04-20","Richmond","BC","CAN","CAN","75","220","2003","CHI","1","14","14"
"567","Brett Bulmer","MIN","R","28","1992-04-26","Prince George","BC","CAN","CAN","76","212","2010","MIN","2","9","39"
"590","Brett Connolly","BOS, WSH","R","28","1992-05-02","Campbell River","BC","CAN","CAN","75","198","2010","T.B","1","6","6"
"832","Brett Kulak","CGY","D","27","1994-01-06","Edmonton","AB","CAN","CAN","74","192","2012","CGY","4","14","105"
"1023","Brett Lernout","MTL","D","25","1995-09-24","Winnipeg","MB","CAN","CAN","76","214","2014","MTL","3","13","73"
"928","Brett Pesce","CAR","D","26","1994-11-15","Tarrytown","NY","USA","USA","75","206","2013","CAR","3","5","66"
"708","Brett Ritchie","DAL","R","27","1993-07-01","Orangeville","ON","CAN","CAN","75","220","2011","DAL","2","14","44"
"136","Brian Boyle","N.J, T.B, TOR","C","36","1984-12-18","Hingham","MA","USA","USA","78","245","2003","L.A","1","26","26"
"16","Brian Campbell","CHI, FLA","D","41","1979-05-23","Strathroy","ON","CAN","CAN","70","192","1997","BUF","6","22","156"
"489","Brian Dumoulin","PIT","D","29","1991-09-06","Biddeford","ME","USA","USA","76","207","2009","CAR","2","21","51"
"767","Brian Flynn","MTL","C","32","1988-07-26","Lynnfield","MA","USA","USA","73","183","-","-","-","-","-"
"638","Brian Gibbons","N.J","L","33","1988-02-26","Braintree","MA","USA","USA","68","175","-","-","-","-","-"
"29","Brian Gionta","BOS, BUF","R","42","1979-01-18","Rochester","NY","USA","USA","67","178","1998","N.J","3","24","82"
"442","Brian Lashoff","DET","D","30","1990-07-16","Albany","NY","USA","USA","75","213","-","-","-","-","-"
"760","Brian O'Neill","N.J","R","32","1988-06-01","Yardley","PA","USA","USA","69","175","-","-","-","-","-"
"296","Brian Strait","NYI, WPG","D","33","1988-01-04","Waltham","MA","USA","USA","73","188","2006","PIT","3","2","65"
"1075","Brock Boeser","VAN","R","24","1997-02-25","Burnsville","MN","USA","USA","73","208","2015","VAN","1","23","23"
"822","Brock McGinn","CAR","L","27","1994-02-02","Fergus","ON","CAN","CAN","72","187","2012","CAR","2","17","47"
"564","Brock Nelson","NYI","C","29","1991-10-15","Warroad","MN","USA","USA","75","212","2010","NYI","1","30","30"
"624","Brody Sutter","CAR","C","29","1991-09-26","Viking","AB","CAN","CAN","77","203","2011","CAR","7","12","193"
"84","Brooks Laich","L.A, TOR, WSH","C","37","1983-06-23","Wawota","SK","CAN","CAN","74","200","2001","OTT","6","28","193"
"48","Brooks Orpik","WSH","D","40","1980-09-26","San Francisco","CA","USA","USA","75","217","2000","PIT","1","18","18"
"180","Bryan Bickell","CAR, CHI","L","35","1986-03-09","Bowmanville","ON","CAN","CAN","76","223","2004","CHI","2","11","41"
"376","Bryan Lerg","S.J","C","35","1986-01-20","Livonia","MI","USA","USA","70","175","-","-","-","-","-"
"262","Bryan Little","WPG","C","33","1987-11-12","Edmonton","AB","CAN","CAN","72","191","2006","ATL","1","12","12"
"601","Bryan Rust","PIT","R","28","1992-05-11","Pontiac","MI","USA","USA","71","192","2010","PIT","3","20","80"
"267","Bud Holloway","MTL","C","33","1988-03-01","Wapella","SK","CAN","CAN","72","194","2006","L.A","3","23","86"
"861","Buddy Robinson","OTT","R","29","1991-09-30","Bellmawr","NJ","USA","USA","78","232","-","-","-","-","-"
"513","Byron Froese","MTL, T.B, TOR","C","30","1991-03-12","Winkler","MB","CAN","CAN","73","202","2009","CHI","4","28","119"
"1181","C.J. Smith","BUF","L","26","1994-12-01","Des Moines","IA","USA","USA","71","184","-","-","-","-","-"
"281","Cal Clutterbuck","NYI","R","33","1987-11-18","Welland","ON","CAN","CAN","71","215","2006","MIN","3","9","72"
"248","Cal O'Reilly","BUF, MIN","C","34","1986-09-30","Toronto","ON","CAN","CAN","72","188","2005","NSH","5","25","150"
"543","Calle Jarnkrok","NSH","C","29","1991-09-25","Gävle","","SWE","SWE","71","186","2010","DET","2","21","51"
"1189","Calle Rosen","TOR","D","27","1994-02-02","Vaxjo","","SWE","SWE","73","186","-","-","-","-","-"
"470","Calvin de Haan","NYI","D","29","1991-05-09","Carp","ON","CAN","CAN","73","195","2009","NYI","1","12","12"
"427","Cam Atkinson","CBJ","R","31","1989-06-05","Riverside","CT","USA","USA","68","176","2008","CBJ","6","6","157"
"574","Cam Fowler","ANA","D","29","1991-12-05","Windsor","ON","CAN","USA","73","207","2010","ANA","1","12","12"
"404","Cameron Gaunce","PIT","D","31","1990-03-19","Sudbury","ON","CAN","CAN","74","194","2008","COL","2","20","50"
"920","Carl Dahlstrom","CHI","D","26","1995-01-28","Stockholm","","SWE","SWE","76","231","2013","CHI","2","21","51"
"352","Carl Gunnarsson","STL","D","34","1986-11-09","Orebro","","SWE","SWE","74","198","2007","TOR","7","13","194"
"367","Carl Hagelin","ANA, PIT","L","32","1988-08-23","Sodertalje","","SWE","SWE","71","185","2007","NYR","6","17","168"
"182","Carl Soderberg","COL","C","35","1985-10-12","Malmö","","SWE","SWE","75","210","2004","STL","2","19","49"
"69","Carlo Colaiacovo","BUF","D","38","1983-01-27","Toronto","ON","CAN","CAN","73","202","2001","TOR","1","17","17"
"878","Carson Soucy","MIN","D","26","1994-07-27","Viking","AB","CAN","CAN","77","211","2013","MIN","5","16","137"
"865","Carter Rowney","PIT","R","31","1989-05-10","Grand Prairie","AB","CAN","CAN","74","208","-","-","-","-","-"
"1051","Casey Bailey","OTT","R","29","1991-10-27","Anchorage","AK","USA","USA","75","195","-","-","-","-","-"
"500","Casey Cizikas","NYI","C","30","1991-02-27","Toronto","ON","CAN","CAN","71","195","2009","NYI","4","1","92"
"1171","Casey Mittelstadt","BUF","C","22","1998-11-22","Edina","MN","USA","USA","73","196","2017","BUF","1","8","8"
"1129","Casey Nelson","BUF","D","28","1992-07-18","Wisconsin Rapids","WI","USA","USA","73","185","-","-","-","-","-"
"834","Cedric Paquette","T.B","C","27","1993-08-13","Gaspe","QC","CAN","CAN","73","204","2012","T.B","4","10","101"
"866","Chad Ruhwedel","BUF, PIT","D","30","1990-05-07","San Diego","CA","USA","USA","71","191","-","-","-","-","-"
"807","Chandler Stephenson","WSH","C","26","1994-04-22","Saskatoon","SK","CAN","CAN","72","199","2012","WSH","3","16","77"
"825","Charles Hudon","MTL","L","26","1994-06-23","Alma","QC","CAN","CAN","70","190","2012","MTL","5","1","122"
"558","Charlie Coyle","MIN","C","29","1992-03-02","E. Weymouth","MA","USA","USA","75","213","2010","S.J","1","28","28"
"1137","Charlie McAvoy","BOS","D","23","1997-12-21","Long Beach","NY","USA","USA","72","208","2016","BOS","1","14","14"
"654","Chase Balisy","FLA","C","29","1992-02-02","Fullerton","CA","USA","USA","71","179","2011","NSH","6","19","170"
"1028","Chase De Leo","WPG","C","25","1995-10-25","La Mirada","CA","USA","USA","69","186","2014","WPG","4","9","99"
"907","Chris Bigras","COL","D","26","1995-02-22","Orillia","ON","CAN","CAN","73","191","2013","COL","2","2","32"
"456","Chris Brown","WSH","R","30","1991-02-03","Flower Mound","TX","USA","USA","74","188","2009","PHX","2","6","36"
